1	Антон	Антон	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	6	nsubj	_	@sat1974m-words#@sat1974m#2606.536#2606.858
2	Иванов	Иванов	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	1	appos	_	@sat1974m-words#@sat1974m#2606.858#2607.18
3	/	/	PUNCT	_	_	1	punct	_	@sat1974m-words#@sat1974m#2607.18#2607.502
4	надеюсь	надеяться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	6	parataxis	_	@sat1974m-words#@sat1974m#2607.502#2607.824
5	Женя	Женя	PROPN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	6	nsubj	_	@sat1974m-words#@sat1974m#2607.824#2608.146
6	расскажет	рассказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	0	root	_	@sat1974m-words#@sat1974m#2608.146#2608.468
7	про	про	ADP	_	_	9	case	_	@sat1974m-words#@sat1974m#2608.468#2608.79
8	новый	новый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	9	amod	_	@sat1974m-words#@sat1974m#2608.79#2609.112
9	альбом	альбом	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	6	obl	_	@sat1974m-words#@sat1974m#2609.112#2609.434
10	/	/	PUNCT	_	_	12	punct	_	@sat1974m-words#@sat1974m#2609.434#2609.756
11	и	и	CCONJ	_	_	12	cc	_	@sat1974m-words#@sat1974m#2609.756#2610.078
12	клип	клип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	6	conj	_	@sat1974m-words#@sat1974m#2610.078#2610.4
13	Эпидемии	эпидемия	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	12	nmod	_	@sat1974m-words#@sat1974m#2610.4#2610.731
14	и	и	CCONJ	_	_	19	cc	_	@sat1974m-words#@sat1974m#2611.048#2611.318
15	про	про	ADP	_	_	19	case	_	@sat1974m-words#@sat1974m#2611.318#2611.588
16	свой	свой	DET	_	Case=Acc|Gender=Masc|Number=Sing	19	det	_	@sat1974m-words#@sat1974m#2611.588#2611.858
17	новый	новый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	19	amod	_	@sat1974m-words#@sat1974m#2611.858#2612.128
18	сольный	сольный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	19	amod	_	@sat1974m-words#@sat1974m#2612.128#2612.398
